1765480988.8679814,008,8,0000020000000000
1765480988.8679857,008,8,0000020000000000
1765480988.8680005,008,8,0000020000000000
1765480988.8680022,008,8,0000020000000000
1765480988.8680735,008,8,0000020000000000
1765480988.8680754,008,8,0000020000000000
1765480988.868077,008,8,0000020000000000
1765480988.8680787,008,8,0000020000000000
1765480988.8681827,008,8,0000020000000000
1765480988.8681855,008,8,0000020000000000
1765480988.8684194,008,8,0000020000000000
1765480988.8684218,00C,8,000c020000000000
1765480988.8684244,008,8,0000020000000000
1765480988.8684268,008,8,0000020000000000
1765480988.8684285,008,8,0000020000000000
1765480988.8684301,008,8,0000020000000000
1765480988.868432,00C,8,0030020000000000
1765480988.8685415,008,8,0000020000000000
1765480988.868544,008,8,0000020000000000
1765480988.8685455,008,8,0000020000000000
1765480988.8686705,008,8,0000020000000000
1765480988.8686721,00C,8,000c020000000000
1765480988.8686736,008,8,0000020000000000
1765480988.8686748,008,8,0000020000000000
1765480988.8687978,008,8,0000020000000000
1765480988.8689637,008,8,0000020000000000
1765480988.8689663,00C,8,0030020000000000
1765480989.0688596,008,8,0000020000000000
1765480989.0688617,008,8,0000020000000000
1765480989.0688639,008,8,0000020000000000
1765480989.0689027,008,8,0000020000000000
1765480989.0689042,00C,8,000c020000000000
1765480989.0689054,008,8,0000020000000000
1765480989.0690691,008,8,0000020000000000
1765480989.069071,008,8,0000020000000000
1765480989.0691912,008,8,0000020000000000
1765480989.2691462,00C,8,0030020000000000
1765480989.2691483,008,8,0000020000000000
1765480989.2691495,008,8,0000020000000000
1765480989.2691581,008,8,0000020000000000
1765480989.269159,008,8,0000020000000000
1765480989.2691603,00C,8,000c020000000000
1765480989.269434,008,8,0000020000000000
1765480989.2694366,008,8,0000020000000000
1765480989.2694383,008,8,0000020000000000
1765480989.469255,008,8,0000020000000000
1765480989.4693909,00C,8,0030020000000000
1765480989.469393,008,8,0000020000000000
1765480989.4693952,008,8,0000020000000000
1765480989.4693966,008,8,0000020000000000
1765480989.4693992,008,8,0000020000000000
1765480989.4695482,00C,8,000c020000000000
1765480989.4695504,008,8,0000020000000000
1765480989.4696565,008,8,0000020000000000
1765480989.6695077,008,8,0000020000000000
1765480989.66951,008,8,0000020000000000
1765480989.669511,00C,8,0030020000000000
1765480989.6695206,008,8,0000020000000000
1765480989.669522,008,8,0000020000000000
1765480989.669523,008,8,0000020000000000
1765480989.6696668,008,8,0000020000000000
1765480989.669669,00C,8,000c020000000000
1765480989.6697454,008,8,0000020000000000
1765480989.8696148,008,8,0000020000000000
1765480989.869624,008,8,0000020000000000
1765480989.869625,008,8,0000020000000000
1765480989.8696272,00C,8,0030020000000000
1765480989.8696287,008,8,0000020000000000
1765480989.8697758,008,8,0000020000000000
1765480989.8699014,008,8,0000020000000000
1765480989.8699033,008,8,0000020000000000
1765480989.8700273,00C,8,000c020000000000
1765480990.0698097,008,8,0000020000000000
1765480990.069812,008,8,0000020000000000
